circuit_name,pit_loss_seconds,total_laps,deg_type
Bahrain,24.5,57,High
Saudi Arabia,20.5,50,Medium
Australia,17.5,58,High
Japan,22.5,53,High
China,23,56,High
Miami,20,57,Medium
Imola,28.5,63,Medium
Monaco,19.5,78,Low
Canada,18.5,70,Medium
Spain,22,66,High
Austria,21.5,71,Medium
Silverstone,29,52,High
Hungary,20.5,70,Medium
Belgium,19,44,High
Zandvoort,23,72,High
Monza,24,53,Low
Azerbaijan,20,51,Medium
Singapore,29,62,High
Austin,20.5,56,High
Mexico,22,71,Medium
Brazil,21.5,71,Medium
Las Vegas,21,50,Low
Qatar,29.5,57,High
Abu Dhabi,22,58,Medium
